idVisit,serverTime,timeSpent,actionCategory,actionName,userName,department,team,title,organization,name,country
202313,2016-12-19 16:50:12,,Webnei downloaded,DL MMO 4x4 with TM4 LTE569,Agatha Christie: Peril at End House  ,MN Mobile Networks,MN RN CRD Network Perform121,INGENIEUR OPTIMISATION,MN Radio Networks,Agatha Christie: Peril at End House  ,France
202328,2016-12-19 16:51:36,13,Favourites filtering Clicked,favourites,Age of Mythology: The Titans  ,CO Customer Operations,CO Customer Operations,Senior Account Manager,N/a,Age of Mythology: The Titans  ,United Kingdom
202328,2016-12-19 16:51:49,3,Top filtering Clicked,top,Age of Mythology: The Titans  ,CO Customer Operations,CO Customer Operations,Senior Account Manager,N/a,Age of Mythology: The Titans  ,United Kingdom
202328,2016-12-19 16:51:52,,Favourites filtering Clicked,favourites,Age of Mythology: The Titans  ,CO Customer Operations,CO Customer Operations,Senior Account Manager,N/a,Age of Mythology: The Titans  ,United Kingdom
202332,2016-12-19 16:52:25,17,WebNei clicked,Step towards Next Gen Telco: 5G introduction,"Age of Oracles: Tara's Journey  ",AA Applications &amp; Analytics,AA S GP&amp;D Analytics,Network Operations Engineer,AA Services,"Age of Oracles: Tara's Journey  ",Portugal
202332,2016-12-19 16:52:42,63,Webnei downloaded,Step towards Next Gen Telco: 5G introduction,"Age of Oracles: Tara's Journey  ",AA Applications &amp; Analytics,AA S GP&amp;D Analytics,Network Operations Engineer,AA Services,"Age of Oracles: Tara's Journey  ",Portugal
202332,2016-12-19 16:53:45,,WebNei clicked,Introduction to NOKIA VoWiFi solution,"Age of Oracles: Tara's Journey  ",AA Applications &amp; Analytics,AA S GP&amp;D Analytics,Network Operations Engineer,AA Services,"Age of Oracles: Tara's Journey  ",Portugal
202334,2016-12-19 17:03:59,,WebNei clicked,LTE3071,Age of Pinballs Pro  ,MN Mobile Networks,MN RN CRD Prod Verification325,RMT USA Tester,MN Radio Networks,Age of Pinballs Pro  ,USA
202344,2016-12-19 17:25:28,37,WebNei clicked,Step towards Next Gen Telco: 5G introduction,Age of Pirates 2: City of Abandoned Ships  ,MN Mobile Networks,MN AMS SC&amp;WiFi Zone ComputD,R&amp;D Engineer,MN Advanced MN Solutions,Age of Pirates 2: City of Abandoned Ships  ,India
202344,2016-12-19 17:26:05,,Webnei downloaded,Step towards Next Gen Telco: 5G introduction,Age of Pirates 2: City of Abandoned Ships  ,MN Mobile Networks,MN AMS SC&amp;WiFi Zone ComputD,R&amp;D Engineer,MN Advanced MN Solutions,Age of Pirates 2: City of Abandoned Ships  ,India
